"((2, 1), (2, 2))",[-294.53242283 -293.85774027 -295.44125596 -887.25      ]
"((1, 1), (2, 2))",[-284.65133657 -286.07937215 -288.28053859 -286.72944734]
"((0, 1), (2, 2))",[-280.68161556 -280.09947174 -284.66266034 -284.94949761]
"((3, 1), (2, 2))",[-296.72351473 -290.07401345 -294.40001936 -292.43237775]
"((2, 0), (2, 2))",[-292.77182688 -295.80982364 -290.68780636 -292.38314259]
"((1, 0), (2, 2))",[-288.920852   -293.68964674 -287.77820748 -287.11324268]
"((0, 0), (2, 2))",[-285.86469793 -286.52950033 -282.05075511 -287.36277578]
"((3, 0), (2, 2))",[-291.31608312 -291.88633665 -292.34013455 -295.12599794]
"((2, 2), (2, 3))",[0. 0. 0. 0.]
"((2, 3), (4, 2))",[0. 0. 0. 0.]
"((5, 2), (3, 2))",[-299.29613404 -296.88591304 -298.43172559 -508.        ]
"((5, 1), (3, 2))",[-305.9747166  -303.7481955  -304.52588886 -301.47373752]
"((5, 0), (3, 2))",[-303.39568539 -308.85579426 -306.12952309 -307.20526671]
"((4, 3), (3, 2))",[0. 0. 0. 0.]
"((3, 3), (3, 1))",[0. 0. 0. 0.]
"((0, 4), (4, 1))",[-321.82277926 -322.66891458 -329.06740274 -321.17173544]
"((1, 4), (4, 1))",[-325.00495786 -322.36869851 -325.83763186 -320.52576205]
"((2, 4), (4, 1))",[-320.40760383 -316.02649198 -508.5        -313.1492434 ]
"((0, 5), (4, 1))",[-320.16001437 -322.51606134 -317.0155966  -511.        ]
"((1, 5), (4, 1))",[-320.41599287 -316.3952662  -314.37131845 -510.5       ]
"((2, 5), (4, 1))",[-311.58313731 -309.93039981 -311.87797411 -510.        ]
"((3, 4), (4, 1))",[-315.35583192 -310.59446602 -508.         -307.13204024]
"((5, 3), (3, 1))",[0. 0. 0. 0.]
"((1, 3), (4, 2))",[-315.43122817 -507.5        -309.60807219 -310.92088663]
"((0, 3), (4, 2))",[-315.81151529 -314.87887431 -317.15830011 -311.79767997]
"((2, 1), (3, 1))",[-314.73181478 -319.0959498  -319.20006083 -318.73223147]
